,Long,Short
1993-06-08,-0.008787344808592435,0.01235985566812019
1993-06-09,-0.0060167605128346405,-0.0009717986745997331
1993-06-10,-0.008894784900148011,0.010247505719978922
1993-06-11,0.0029804325286119427,-0.0015756738192232778
1993-06-14,0.0011284907463978255,1.8177994387069684e-05
1993-06-15,0.005356629242795974,0.009141024405089414
1993-06-16,0.010854560433128834,-0.0037272127261008814
1993-06-17,0.0056396564774981225,0.0010325523282244675
1993-06-18,-0.0007886332932934392,0.015808951734829157
1993-06-21,-0.01760242302245717,0.009692654073896556
1993-06-22,0.006216104763835151,0.008347434869189273
1993-06-23,0.005661455655291969,0.0007575530540575248
1993-06-24,0.02086067976018079,-0.007937923130240632
1993-06-25,-0.0018608823592102697,0.008824550736713333
1993-06-28,0.012224125448874001,-0.009023940977688095
